name,Country,Gender,Sport,Discipline,Event,Year
Kichun Wang,KOR,Men,Judo,Judo,66 - 73kg (lightweight),2008
Aleksandr Sorokolet,URS,Men,Volleyball,Volleyball,volleyball,1988
Galina Maltchouguina,EUN,Women,Athletics,Athletics,4x100m relay,1992
Lorrie Fair,USA,Women,Football,Football,football,2000
Christina Voss,GDR,Women,Handball,Handball,handball,1976
Bela Varadi,HUN,Men,Football,Football,football,1972
Edgar Barreto,PAR,Men,Football,Football,football,2004
Harbinder Singh,IND,Men,Hockey,Hockey,hockey,1972
Antoon G.J. Buunk,NED,Men,Aquatics,Water polo,water polo,1976
Masao Arai,JPN,Men,Wrestling,Wrestling Free.,52 - 57kg (bantamweight),1976
Juri Jaanson,EST,Men,Rowing,Rowing,double sculls (2x),2008
Karin Singstad,NOR,Women,Handball,Handball,handball,1988
Boris Shukhov,URS,Men,Cycling,Cycling Road,team time trial,1972
Jaebum Kim,KOR,Men,Judo,Judo,73 - 81kg (half-middleweight),2008
Maud Von rosen,SWE,Women,Equestrian,Dressage,team,1972
Severine Vandenhende,FRA,Women,Judo,Judo,57 - 63kg (half-middleweight),2000
Irina Parkhomchuk,URS,Women,Volleyball,Volleyball,volleyball,1988
Brandon Brooks,USA,Men,Aquatics,Water polo,water polo,2008
Barbara Wysoczanska,POL,Women,Fencing,Fencing,foil individual,1980
Vadim Bogiyev,RUS,Men,Wrestling,Wrestling Free.,62 - 68kg (lightweight),1996
Flandy Limpele,INA,Men,Badminton,Badminton,doubles,2004
Douglas Wakiihuri,KEN,Men,Athletics,Athletics,marathon,1988
Svetlana Varganova,URS,Women,Aquatics,Swimming,200m breaststroke,1980
Kathryn Smallwood-cook,GBR,Women,Athletics,Athletics,4x100m relay&400m,1980&1984
Kieren John Perkins,AUS,Men,Aquatics,Swimming,1500m freestyle&400m freestyle,1992&1996&2000
Timour Taimazov,EUN,Men,Weightlifting,Weightlifting,90 - 100kg total (first-heavyweight)&99 - 108kg total (heavyweight),1992&1996
Darnell Hall,USA,Men,Athletics,Athletics,4x400m relay,1992
Rikke Schmidt,DEN,Women,Handball,Handball,handball,2004
Pavel Svojanovsky,TCH,Men,Rowing,Rowing,pair-oared shell with coxswain (2+),1972&1976
Lenny Krayzelburg,USA,Men,Aquatics,Swimming,100m backstroke&200m backstroke&4x100m medley relay,2000&2004
Gunnar Sauer,FRG,Men,Football,Football,football,1988
Daniel Bekono ndene,CMR,Men,Football,Football,football,2000
Novelene Williams,JAM,Women,Athletics,Athletics,4x400m relay,2004&2008
Jsrg Damme,GDR,Men,Shooting,Shooting,trap (125 targets),1980
Giulia Quintavalle,ITA,Women,Judo,Judo,52 - 57kg (lightweight),2008
Peter Konyegwachie,NGR,Men,Boxing,Boxing,54 - 57kg (featherweight),1984
Alvin Harrison,USA,Men,Athletics,Athletics,4x400m relay&400m,1996&2000
Arminas Narbekovas,URS,Men,Football,Football,football,1988
Maarten Van der weijden,NED,Men,Aquatics,Swimming,marathon 10km,2008
Annapia Gandolfi,ITA,Women,Fencing,Fencing,foil team,1988
Maja Gronbek,DEN,Women,Handball,Handball,handball,2000
Yue-Qin Zhang,CHN,Women,Basketball,Basketball,basketball,1984
Laura Gail Siering,USA,Women,Aquatics,Swimming,4x100m medley relay,1976
Hans-Otto Schumacher,FRG,Men,Canoe,Canoe,C-2 (canoe double),1972
Gheorghe Simionov,ROU,Men,Canoe,Canoe,C-2 1000m (canoe double),1976
Vladimir Veremeev,URS,Men,Football,Football,football,1976
Pedres Nolasco,DOM,Men,Boxing,Boxing,51 - 54kg (bantamweight),1984
Oleg Logvin,URS,Men,Cycling,Cycling Road,team time trial,1980
Vladimir Tohuzov,URS,Men,Wrestling,Wrestling Free.,48 - 52kg (flyweight),1988
Megan Catherine Delehanty,CAN,Women,Rowing,Rowing,eight with coxswain (8+),1992
Nanceen Perry,USA,Women,Athletics,Athletics,4x100m relay,2000
David Neville,USA,Men,Athletics,Athletics,400m&4x400m relay,2008
Daniel Burke,AUS,Men,Rowing,Rowing,eight with coxswain (8+),2000
Clyde Hefer,AUS,Men,Rowing,Rowing,eight with coxswain (8+),1984
Eugene Howard Iv Clapp,USA,Men,Rowing,Rowing,eight with coxswain (8+),1972
Eddy Hartono,INA,Men,Badminton,Badminton,doubles,1992
Nina Umanets,URS,Women,Rowing,Rowing,eight with coxswain (8+),1980
Carlos Pedroso,CUB,Men,Fencing,Fencing,Zpze team,2000
Mark Dragunski,GER,Men,Handball,Handball,handball,2004
Gabriel Heinze,ARG,Men,Football,Football,football,2004
Hye-Young Youn,KOR,Women,Archery,Archery,team (FITA Olympic round - 70m),1996
William Barton Rogers Hobbs,USA,Men,Rowing,Rowing,eight with coxswain (8+),1972
Yan Liang,CHN,Women,Volleyball,Volleyball,volleyball,1984
Ion Birladeanu,ROU,Men,Canoe,Canoe,K-1 1000m (kayak single),1980
Jan Dydak,POL,Men,Boxing,Boxing,63.5 - 67kg (welterweight),1988
Lamont Smith,USA,Men,Athletics,Athletics,4x400m relay,1996
Sawao Kato,JPN,Men,Gymnastics,Artistic G.,horizontal bar&individual all-round&parallel bars&pommel horse&team competition,1972&1976
Paraskevi Voula Patoulidou,GRE,Women,Athletics,Athletics,100m hurdles,1992
Ilaria Salvatori,ITA,Women,Fencing,Fencing,foil team,2008
Valentyn Mankin,URS,Men,Sailing,Sailing,tempest&two-person keelboat open (Star),1972&1976&1980
Dalia Contreras rivero,VEN,Women,Taekwondo,Taekwondo,- 49 kg,2008
Dara Torres,USA,Women,Aquatics,Swimming,4x100m freestyle relay&4x100m medley relay&100m butterfly&100m freestyle&50m freestyle,1984&1988&1992&2000&2008
Rebecca Rippon,AUS,Women,Aquatics,Water polo,water polo,2008
Klaus Ehl,FRG,Men,Athletics,Athletics,4x100m relay,1972
Christian Klees,GER,Men,Shooting,Shooting,50m rifle prone (60 shots),1996
Sergey Kliugin,RUS,Men,Athletics,Athletics,high jump,2000
Matthew Wells,AUS,Men,Hockey&Rowing,Hockey&Rowing,hockey&double sculls (2x),2000&2004&2008
Britta Oppelt,GER,Women,Rowing,Rowing,double sculls (2x)&quadruple sculls without coxswain (4x),2004&2008
Dmitriy Karpov,KAZ,Men,Athletics,Athletics,decathlon,2004
Werner Otto,GDR,Men,Cycling,Cycling Track,2000m tandem,1972
Ling-Juan Li,CHN,Women,Archery,Archery,individual FITA round,1984
Aslanbek Khushtov,RUS,Men,Wrestling,Wrestling Gre-R,84 - 96kg,2008
Tae-Kwon Ha,KOR,Men,Badminton,Badminton,doubles,2000&2004
Maria Gulacsi-szolnoki,HUN,Women,Fencing,Fencing,foil team,1972
Sergi Pedrerol,ESP,Men,Aquatics,Water polo,water polo,1992&1996
Mary Harvey,USA,Women,Football,Football,football,1996
Milan Jansa,SLO,Men,Rowing,Rowing,four without coxswain (4-),1992
Hakki Basar,TUR,Men,Wrestling,Wrestling Gre-R,82 - 90kg (light-heavyweight),1992
Ioan Grigoras,ROU,Men,Wrestling,Wrestling Gre-R,100 - 130kg (super heavyweight),1992
Nicole Brandebusemeyer,GER,Women,Football,Football,football,2000
Lutz Altepost,GER,Men,Canoe,Canoe,K-4 1000m (kayak four),2008
Steven Dewick,AUS,Men,Aquatics,Swimming,4x100m medley relay,1996
Andrew Justice,GBR,Men,Rowing,Rowing,eight with coxswain (8+),1980
Lisa Jayne Bayliss,GBR,Women,Hockey,Hockey,hockey,1992
Vsevolods Zelonijs,LAT,Men,Judo,Judo,66 - 73kg (lightweight),2000
Dennis Stewart,GBR,Men,Judo,Judo,86 - 95kg (half-heavyweight),1988
Zlatko Portner,YUG,Men,Handball,Handball,handball,1988
Josef Reiter,AUT,Men,Judo,Judo,60 - 65kg (half-lightweight),1984
Mikhail Mamiashvili,URS,Men,Wrestling,Wrestling Gre-R,74 - 82kg (middleweight),1988
Markis Kido,INA,Men,Badminton,Badminton,doubles,2008
George Peter Campbell,USA,Men,Aquatics,Water polo,water polo,1984&1988
Gleb Pisarevskiy,RUS,Men,Weightlifting,Weightlifting,105kg,2004
Seyedmorad Mohammadi,IRI,Men,Wrestling,Wrestling Free.,55 - 60kg,2008
Keri-Anne Payne,GBR,Women,Aquatics,Swimming,marathon 10km,2008
Yael Arad,ISR,Women,Judo,Judo,56 - 61kg (half-middleweight),1992
Jongoh Jin,KOR,Men,Shooting,Shooting,50m pistol (60 shots)&10m air pistol (60 shots),2004&2008
Valeri Gazzaev,URS,Men,Football,Football,football,1980
Georg Spohr,GDR,Men,Rowing,Rowing,pair-oared shell with coxswain (2+),1976&1980
Vasili Stankovich,URS,Men,Fencing,Fencing,foil team,1972
Iwan Thomas,GBR,Men,Athletics,Athletics,4x400m relay,1996
Gabi Mueller,SUI,Women,Canoe,Canoe,K-4 500m (kayak four),1996
Silvijo Petrisko,CRO,Men,Rowing,Rowing,eight with coxswain (8+),2000
Petko Petkov,BUL,Men,Volleyball,Volleyball,volleyball,1980
Gavin Hassett,CAN,Men,Rowing,Rowing,lightweight coxless four (4-),1996
Elizabeth Mitchell,USA,Women,Aquatics,Swimming,100m backstroke&4x100m medley relay,1984&1988
David Khakhaleichvili,EUN,Men,Judo,Judo,+ 95kg (heavyweight),1992
Wlodzimierz Zawadzki,POL,Men,Wrestling,Wrestling Gre-R,57 - 62kg (featherweight),1996
Igor Maistrenko,URS,Men,Rowing,Rowing,eight with coxswain (8+),1980
Claudia Mueller,GER,Women,Football,Football,football,2000
Lyne Beaumont,CAN,Women,Aquatics,Synchronized S.,team,2000
Wolfgang Funkel,FRG,Men,Football,Football,football,1988
Debbie Mcdonald,USA,Women,Equestrian,Dressage,team,2004
Stefan Angelov,BUL,Men,Wrestling,Wrestling Gre-R,- 48kg (light-flyweight),1972&1976
Marc Meiling,FRG,Men,Judo,Judo,86 - 95kg (half-heavyweight),1988
Andrzej Glab,POL,Men,Wrestling,Wrestling Gre-R,- 48kg (light-flyweight),1988
Aleksandr Volkov,URS,Men,Basketball,Basketball,basketball,1988
Theo Meijer,NED,Men,Judo,Judo,86 - 95kg (half-heavyweight),1992
Mirko Englich,GER,Men,Wrestling,Wrestling Gre-R,84 - 96kg,2008
Reidun Tatham,CAN,Women,Aquatics,Synchronized S.,team,2000
Jason Read,USA,Men,Rowing,Rowing,eight with coxswain (8+),2004
Rob Derikx,NED,Men,Hockey,Hockey,hockey,2004
Rustam Yambulatov,URS,Men,Shooting,Shooting,trap (125 targets),1980
Jyri Gsran Kjall,FIN,Men,Boxing,Boxing,60 - 63.5kg (light-welterweight),1992
Matthew Emmons,USA,Men,Shooting,Shooting,50m rifle prone (60 shots),2004&2008
Ivan Kizimov,URS,Men,Equestrian,Dressage,team,1972
Leopoldo Serantes,PHI,Men,Boxing,Boxing,- 48kg (light-flyweight),1988
Wayne Turner Wells,USA,Men,Wrestling,Wrestling Free.,68 - 74kg (welterweight),1972
Zhilei Zhang,CHN,Men,Boxing,Boxing,+ 91kg (super heavyweight),2008
Vincenzo D,ITA,Men,Aquatics,Water polo,water polo,1976
Toby Stevenson,USA,Men,Athletics,Athletics,pole vault,2004
Natalya Davydova,UKR,Women,Weightlifting,Weightlifting,69kg,2008
Uwe Messerschmidt,FRG,Men,Cycling,Cycling Track,Points Race,1984
Wonsam Jang,KOR,Men,Baseball,Baseball,baseball,2008
Aly Wagner,USA,Women,Football,Football,football,2004&2008
Attila Adrovicz,HUN,Men,Canoe,Canoe,K-4 1000m (kayak four),1996
Solomon Okoronkwo,NGR,Men,Football,Football,football,2008
Sandra Brondello,AUS,Women,Basketball,Basketball,basketball,2004
Zoltan Fodor,HUN,Men,Wrestling,Wrestling Gre-R,74 - 84kg,2008
Janusz Pyciak-peciak,POL,Men,Modern Pentathlon,Modern Pentath.,Individual competition,1976
Jacques Demers,CAN,Men,Weightlifting,Weightlifting,67.5 - 75kg total (middleweight),1984
Belinda Stowell,AUS,Women,Sailing,Sailing,470 - Two Person Dinghy,2000
Olga Kuragina,URS,Women,Athletics,Athletics,pentathlon,1980
Tomislav Ivkovic,YUG,Men,Football,Football,football,1984
Martina Koch-hallmen,FRG,Women,Hockey,Hockey,hockey,1984
Hartwig Steenken,FRG,Men,Equestrian,Jumping,team,1972
Natalya Nazarova,RUS,Women,Athletics,Athletics,4x400m relay,2000&2004
Ruben Michavila jover,ESP,Men,Aquatics,Water polo,water polo,1992
Hans-Georg Jaunich,GDR,Men,Handball,Handball,handball,1980
Claudia Kohde-kilsch,FRG,Women,Tennis,Tennis,doubles,1988
Gysrgy Guczoghy,HUN,Men,Gymnastics,Artistic G.,team competition,1980
Eduard Azarian,URS,Men,Gymnastics,Artistic G.,team competition,1980
ZE ELIAS,BRA,Men,Football,Football,football,1996
Jian-Ping He,CHN,Women,Handball,Handball,handball,1984
Karoly Hauszler,HUN,Men,Aquatics,Water polo,water polo,1980
Nina Gopova-trofimova,URS,Women,Canoe,Canoe,K-2 500m (kayak double),1976&1980
Vera Djuraskovic,YUG,Women,Basketball,Basketball,basketball,1980
Karin Rodrigues,BRA,Women,Volleyball,Volleyball,volleyball,2000
Jean Louis Zanon,FRA,Men,Football,Football,football,1984
Lance Bade,USA,Men,Shooting,Shooting,trap (125 targets),1996
Kevin Hansen,USA,Men,Volleyball,Volleyball,volleyball,2008
Czeslawa Koscianska,POL,Women,Rowing,Rowing,pair without coxswain (2-),1980
Linda Andersen,NOR,Women,Sailing,Sailing,single-handed dinghy (Europe),1992
Dejan Tomasevic,YUG,Men,Basketball,Basketball,basketball,1996
Ullrich Libor,FRG,Men,Sailing,Sailing,flying dutchman,1972
Gilles Berolatti,FRA,Men,Fencing,Fencing,foil team,1972
Kerstin Gerschau,GDR,Women,Gymnastics,Artistic G.,team competition,1976
Karoly Guttler,HUN,Men,Aquatics,Swimming,100m breaststroke&200m breaststroke,1988&1996
Maria Netessova,RUS,Women,Gymnastics,Rhythmic G.,group competition,2000
Yudel Johnson cedeno,CUB,Men,Boxing,Boxing,60 - 64 kg,2004
Janet Lee Shearer,NZL,Women,Sailing,Sailing,470 - Two Person Dinghy,1992
Atanas Slavov Komchev,BUL,Men,Wrestling,Wrestling Gre-R,82 - 90kg (light-heavyweight),1988
Mark Knowles,AUS,Men,Hockey,Hockey,hockey,2004&2008
Ola Lindgren,SWE,Men,Handball,Handball,handball,1992&1996&2000
Martin Tenk,CZE,Men,Shooting,Shooting,50m pistol (60 shots),2000
Liubov Berezhnaya-odinokova,URS,Women,Handball,Handball,handball,1976&1980
Roel Velasco,PHI,Men,Boxing,Boxing,- 48kg (light-flyweight),1992
Athol Earl,NZL,Men,Rowing,Rowing,eight with coxswain (8+),1972&1976
Kosei Inoue,JPN,Men,Judo,Judo,90 - 100kg (half-heavyweight),2000
Masae Ueno,JPN,Women,Judo,Judo,63 - 70kg (middleweight),2004&2008
Rodney Stuart Pattisson,GBR,Men,Sailing,Sailing,flying dutchman,1972&1976
Volker Zerbe,GER,Men,Handball,Handball,handball,2004
Sybille Schmidt,GER,Women,Rowing,Rowing,quadruple sculls without coxswain (4x),1992
Adriana Behar,BRA,Women,Volleyball,Beach volley.,beach volleyball,2000&2004
Beth Botsford,USA,Women,Aquatics,Swimming,100m backstroke&4x100m medley relay,1996
Torsten May,GER,Men,Boxing,Boxing,75 - 81kg (light-heavyweight),1992
Jin-Suk Lim,KOR,Men,Handball,Handball,handball,1988
Chang-Hwan Lee,KOR,Men,Archery,Archery,team (FITA Olympic round - 70m),2008
Michele Freeman,JAM,Women,Athletics,Athletics,4x100m relay,1996
Niels Henriksen,DEN,Men,Rowing,Rowing,lightweight coxless four (4-),1996
Wojciech Kowalczyk,POL,Men,Football,Football,football,1992
Maharaj Krishon Kaushik,IND,Men,Hockey,Hockey,hockey,1980
Imran Ahmed Khan Sherwani,GBR,Men,Hockey,Hockey,hockey,1988
Juan Capdevila,ESP,Men,Football,Football,football,2000
Anghelache Donescu,ROU,Men,Equestrian,Dressage,team,1980
Nina Muradyan,URS,Women,Volleyball,Volleyball,volleyball,1976
Myriam Fox-jerusalmi,FRA,Women,Canoe,Canoe,K-1 (kayak single),1996
Nicole Anne Louise Bradtke,AUS,Women,Tennis,Tennis,doubles,1992
Daniel Clark,AUS,Men,Cycling,Cycling Track,1km time trial,1972
Danielle Tyler,USA,Women,Softball,Softball,softball,1996
Candace Parker,USA,Women,Basketball,Basketball,basketball,2008
Frederich Cepeda cruz,CUB,Men,Baseball,Baseball,baseball,2004
Kerron Clement,USA,Men,Athletics,Athletics,400m hurdles,2008
Ivan Moro,ESP,Men,Aquatics,Water polo,water polo,1996
Sergey Makarov,RUS,Men,Athletics,Athletics,javelin throw,2000&2004
Jozsef Deme,HUN,Men,Canoe,Canoe,K-2 1000m (kayak double),1972
Beatrix Toth,HUN,Women,Handball,Handball,handball,1996
Loredana Boboc,ROU,Women,Gymnastics,Artistic G.,team competition,2000
Teresa Edwards,USA,Women,Basketball,Basketball,basketball,1984&1988&1992&1996&2000
Annia Hatch,USA,Women,Gymnastics,Artistic G.,team competition&vault,2004
Trish Fallon,AUS,Women,Basketball,Basketball,basketball,1996&2000&2004
Natalya Lavrinenko,BLR,Women,Rowing,Rowing,eight with coxswain (8+),1996
Patrice Lhotellier,FRA,Men,Fencing,Fencing,foil team,2000
Keena Ruth Rothhammer,USA,Women,Aquatics,Swimming,200m freestyle&800m freestyle,1972
Thomas Edwin Bruce,USA,Men,Aquatics,Swimming,100m breaststroke&4x100m medley relay,1972
Natallia Mikhnevich,BLR,Women,Athletics,Athletics,shot put,2008
Manfred Zapf,GDR,Men,Football,Football,football,1972
Tatyana Diandigava,URS,Women,Handball,Handball,handball,1988
Steven Redgrave,GBR,Men,Rowing,Rowing,four-oared shell with coxswain (4-)&coxless pair (2-)&pair-oared shell with coxswain (2+)&four without coxswain (4-),1984&1988&1992&1996&2000
Aleksandra Leonova,URS,Women,Basketball,Basketball,basketball,1988
Efe Ambrose,NGR,Men,Football,Football,football,2008
Margaret Kelly-hohmann,GBR,Women,Aquatics,Swimming,4x100m medley relay,1980
Tadeusz Rutkowski,POL,Men,Weightlifting,Weightlifting,91 - 110kg total (heavyweight)&+ 110kg total (super heavyweight),1976&1980
Christine Marshall,USA,Women,Aquatics,Swimming,4x200m freestyle relay,2008
Hubert Parot,FRA,Men,Equestrian,Jumping,team,1976
Roman Sludnov,RUS,Men,Aquatics,Swimming,100m breaststroke,2000
Harry Klugmann,FRG,Men,Equestrian,Eventing,team,1972
John Phillips Naber,USA,Men,Aquatics,Swimming,100m backstroke&200m backstroke&200m freestyle&4x100m medley relay&4x200m freestyle relay,1976
Hossein Tavakoli,IRI,Men,Weightlifting,Weightlifting,105kg,2000
Kelly Anne Mccormick,USA,Women,Aquatics,Diving,3m springboard,1984&1988
Dmitry Larionov,RUS,Men,Canoe,Canoe,C-2 (canoe double),2008
Hye Suk Hwang,PRK,Women,Volleyball,Volleyball,volleyball,1972
Dan Wu,CHN,Women,Volleyball,Volleyball,volleyball,1988
Ratko Stritof,CRO,Men,Aquatics,Water polo,water polo,1996
Andrei Tivontchik,GER,Men,Athletics,Athletics,pole vault,1996
Maarten Van der linden,NED,Men,Rowing,Rowing,lightweight double sculls (2x),1996
Horst-Ulrich Hanel,FRG,Men,Hockey,Hockey,hockey,1984&1988
Kerry Dienelt,AUS,Women,Softball,Softball,softball,1996&2000
Miloslav Mecir,TCH,Men,Tennis,Tennis,doubles&singles,1988
Rachid El basir,MAR,Men,Athletics,Athletics,1500m,1992
Petra Van staveren,NED,Women,Aquatics,Swimming,100m breaststroke,1984
Seongok Oh,KOR,Women,Handball,Handball,handball,1992&1996&2004&2008
Ivan Pelizzoli,ITA,Men,Football,Football,football,2004
Jim Bilba,FRA,Men,Basketball,Basketball,basketball,2000
Nino Schurter,SUI,Men,Cycling,Mountain Bike,cross-country,2008
Chunfang Zhang,CHN,Women,Softball,Softball,softball,1996
Michael Eugene Stamm,USA,Men,Aquatics,Swimming,100m backstroke&200m backstroke&4x100m medley relay,1972
Melissa Wu,AUS,Women,Aquatics,Diving,synchronized diving 10m platform,2008
Tim Brabants,GBR,Men,Canoe,Canoe,K-1 1000m (kayak single)&K-1 500m (kayak single),2000&2008
Andrea Barzagli,ITA,Men,Football,Football,football,2004
Kijoo Han,KOR,Men,Baseball,Baseball,baseball,2008
Marta Urbanova,TCH,Women,Hockey,Hockey,hockey,1980
Israel Jose Rubio,VEN,Men,Weightlifting,Weightlifting,62kg,2004
Viktor Losev,URS,Men,Football,Football,football,1988
Aleksandr Karshakevich,URS,Men,Handball,Handball,handball,1980&1988
Raimkul Malakhbekov,RUS,Men,Boxing,Boxing,51 - 54kg (bantamweight),1996&2000
Georgia Ellinaki,GRE,Women,Aquatics,Water polo,water polo,2004
Delisha Milton-jones,USA,Women,Basketball,Basketball,basketball,2008
Gordon Hunter Downie,GBR,Men,Aquatics,Swimming,4x200m freestyle relay,1976
Colin Beashel,AUS,Men,Sailing,Sailing,two-person keelboat open (Star),1996
Dong Dong,CHN,Men,Gymnastics,Trampoline,individual,2008
Christina Liebherr,SUI,Women,Equestrian,Jumping,team,2008
Naomi Van as,NED,Women,Hockey,Hockey,hockey,2008
Sigrid Landgraf,FRG,Women,Hockey,Hockey,hockey,1984
Viktor Krovopuskov,URS,Men,Fencing,Fencing,sabre individual&sabre team,1976&1980
Theresia Kiesl,AUT,Women,Athletics,Athletics,1500m,1996
Anja Mittag,GER,Women,Football,Football,football,2008
Yuri Eliseev,URS,Men,Football,Football,football,1972
Noel Mills,NZL,Men,Rowing,Rowing,four without coxswain (4-),1972
William Bruce Bentsen,USA,Men,Sailing,Sailing,fleet/match race keelboat open (Soling),1972
Koji Sotomura,JPN,Men,Gymnastics,Artistic G.,floor exercises&team competition,1984
Monday James,NGR,Men,Football,Football,football,2008
Viktor Omelyanovich,URS,Men,Rowing,Rowing,eight with coxswain (8+),1988
Eftychia Karagianni,GRE,Women,Aquatics,Water polo,water polo,2004
Anders Jarl,SWE,Men,Cycling,Cycling Road,team time trial,1988
Espen Stokkeland,NOR,Men,Sailing,Sailing,fleet/match race keelboat open (Soling),2000
Zygmunt Anczok,POL,Men,Football,Football,football,1972
Yana Klochkova,UKR,Women,Aquatics,Swimming,200m individual medley&400m individual medley&800m freestyle,2000&2004
Brett Lancaster,AUS,Men,Cycling,Cycling Track,Team Pursuit (4000m),2004
Sevdalin Marinov,BUL,Men,Weightlifting,Weightlifting,- 52kg total (flyweight),1988
Kamil Djamaloudinov,RUS,Men,Boxing,Boxing,54 - 57kg (featherweight),2000
Biurakn Hakhverdian,NED,Women,Aquatics,Water polo,water polo,2008
Mark Precious,GBR,Men,Hockey,Hockey,hockey,1984
Wolfgang Mager,GDR,Men,Rowing,Rowing,coxless pair (2-)&four without coxswain (4-),1972&1976
Olga Krivosheeva,URS,Women,Volleyball,Volleyball,volleyball,1988
Zsuzsa Kezi,HUN,Women,Handball,Handball,handball,1976
Pamela Jean Bilek,USA,Women,Gymnastics,Artistic G.,team competition,1984
Delisha Milton,USA,Women,Basketball,Basketball,basketball,2000
Yves Pajot,FRA,Men,Sailing,Sailing,flying dutchman,1972
Diego Buonanotte ,ARG,Men,Football,Football,football,2008
Henry Boerio,FRA,Men,Gymnastics,Artistic G.,horizontal bar,1976
Louisa Walter,GER,Women,Hockey,Hockey,hockey,2004
Valeriy Tsilent,BLR,Men,Wrestling,Wrestling Gre-R,74 - 82kg (middleweight),1996
Andrzej Bek,POL,Men,Cycling,Cycling Track,2000m tandem,1972
Henryk Wawrowski,POL,Men,Football,Football,football,1976
Boris Georgiev,BUL,Men,Boxing,Boxing,60 - 64 kg,2004
Angel Di maria,ARG,Men,Football,Football,football,2008
Anders Ekstrom,SWE,Men,Sailing,Sailing,Star - Keelboat,2008
Wietse Van alten,NED,Men,Archery,Archery,individual (FITA Olympic round - 70m),2000
Fabian Cancellara,SUI,Men,Cycling,Cycling Road,individual road race&individual time trial,2008
Michael Laurence Staines,USA,Men,Rowing,Rowing,coxless pair (2-),1976
Wilhelmina Donners,NED,Women,Hockey,Hockey,hockey,1996&2000
Adam Saitiev,RUS,Men,Wrestling,Wrestling Free.,76 - 85kg,2000
Mkkhitar Manukyan,KAZ,Men,Wrestling,Wrestling Gre-R,60 - 66kg,2004
Christine Herbst,GDR,Women,Aquatics,Swimming,4x100m medley relay,1972
Stellan Westerdahl,SWE,Men,Sailing,Sailing,two-person keelboat open (Star),1972
Nwankwo Kanu,NGR,Men,Football,Football,football,1996
Stuart Tinney,AUS,Men,Equestrian,Eventing,team,2000
Ning Zhang,CHN,Women,Badminton,Badminton,singles,2004&2008
Danielle Stewart,AUS,Women,Softball,Softball,softball,2008
Xuanze Xia,CHN,Men,Badminton,Badminton,singles,2000
Szvetiszlav Sasics,HUN,Men,Modern Pentathlon,Modern Pentath.,Team competition,1976
Seung Bae Lee,KOR,Men,Boxing,Boxing,71-75kg&75 - 81kg (light-heavyweight),1992&1996
Elvira Vasilkova,URS,Women,Aquatics,Swimming,100m breaststroke&4x100m medley relay,1980
Mike Barrowman,USA,Men,Aquatics,Swimming,200m breaststroke,1992
Ulrich Eicke,FRG,Men,Canoe,Canoe,C-1 1000m (canoe single),1984
Teresa Motos,ESP,Women,Hockey,Hockey,hockey,1992
Xuejuan Luo,CHN,Women,Aquatics,Swimming,100m breaststroke,2004
In-Chul Cho,KOR,Men,Judo,Judo,73 - 81kg (half-middleweight),1996&2000
Ulf Hoffmann,GDR,Men,Gymnastics,Artistic G.,team competition,1988
Martin Zawieja,FRG,Men,Weightlifting,Weightlifting,+ 110kg total (super heavyweight),1988
Kamandar Madzhidov,URS,Men,Wrestling,Wrestling Gre-R,57 - 62kg (featherweight),1988
Mauricio Rojas,CHI,Men,Football,Football,football,2000
Samuel Sanchez,ESP,Men,Cycling,Cycling Road,individual road race,2008
Rytis Vaisvila,LTU,Men,Basketball,Basketball,basketball,1996
Arjen Teeuwissen,NED,Men,Equestrian,Dressage,team,2000
Sarah Ayton,GBR,Women,Sailing,Sailing,Yngling - Keelboat,2004&2008
Sebastian Coe,GBR,Men,Athletics,Athletics,1500m&800m,1980&1984
Stephan Veen,NED,Men,Hockey,Hockey,hockey,1996&2000
Cameron Mckenzie-mcharg,AUS,Men,Rowing,Rowing,four without coxswain (4-),2008
Yefim Chulak,URS,Men,Volleyball,Volleyball,volleyball,1972&1976
Young-Sook Yun,KOR,Women,Archery,Archery,individual FITA round&teams FITA round,1988
Hannelore Anke,GDR,Women,Aquatics,Swimming,100m breaststroke&4x100m medley relay,1976
Krisztian Vereb,HUN,Men,Canoe,Canoe,K-2 1000m (kayak double),2000
Anibal Acevedo santiago,PUR,Men,Boxing,Boxing,63.5 - 67kg (welterweight),1992
Christa Luding,GDR,Women,Cycling,Cycling Track,sprint,1988
Per Holmertz,SWE,Men,Aquatics,Swimming,100m freestyle,1980
Maria Zakarias,HUN,Women,Canoe,Canoe,K-2 500m (kayak double),1980
Tarnee White,AUS,Women,Aquatics,Swimming,4x100m medley relay,2000&2008
Christina Roslyng Hansen,DEN,Women,Handball,Handball,handball,2000
Andrei Lopatov,URS,Men,Basketball,Basketball,basketball,1980
Daeho Lee,KOR,Men,Baseball,Baseball,baseball,2008
Leo Klein gebbink,NED,Men,Hockey,Hockey,hockey,1996
Doerte Lindner,GER,Women,Aquatics,Diving,3m springboard,2000
Piero Poli,ITA,Men,Rowing,Rowing,quadruple sculls without coxswain (4x),1988
Rajmond Debevec,SLO,Men,Shooting,Shooting,50m rifle 3 positions (3x40 shots),2000&2008
Istvan Toth,HUN,Men,Wrestling,Wrestling Gre-R,57 - 62kg (featherweight),1980
Zana Lelas,YUG,Women,Basketball,Basketball,basketball,1988
Oksana Grishina,RUS,Women,Cycling,Cycling Track,sprint,2000
Taryn Woods,AUS,Women,Aquatics,Water polo,water polo,2000
